Institutionsname;Besuche_insgesamt;Besuche_insgesamt;zahlende_Besucherinnen_und _Besucher;zahlende_Besucherinnen_und _Besucher;nicht_zahlende_Besucherinnen_und_Besucher;nicht_zahlende_Besucherinnen_und_Besucher;Besucherinnen;Besucherinnen;Besucher;Besucher;Kinder_und_Jugendliche;Kinder_und_Jugendliche;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Bemerkungen_Angaben_werden_nicht_erhoben;Institutionskategorie
Rundfunk-Orchester und -Choere GmbH;131,967;131,441;118,789;119,283;13,178;12,158;72,582;72,293;59,385;59,148;-;-;165,836;175,503;-;Orchester & Choere
Literarisches Colloquium Berlin (LCB);8,140;8,389;-;-;-;-;5,342;5,388;2,728;2,901;70;100;2,500;2,800;-;Literatur
Literaturhaus Berlin;6,872;6,482;-;-;-;-;3,565;4,459;3,091;1,975;216;48;780;650;-;Literatur
Literaturforum im Brecht-Haus (Gesellschaft fuer Sinn und Form e.V.);6,862;7,142;-;-;-;-;4,117;4,285;2,745;2,857;-;-;40;-;-;Literatur
literaturWERKstatt berlin (Literaturbruecke Berlin e.V.);21,120;20,737;-;-;-;-;11,600;10,766;9,120;9,171;400;800;1,543;1,435;-;Literatur
LesArt - Berliner Zentrum fuer Kinder- und Jugendliteratur;8,915;7,210;-;-;-;-;1,960;2,805;905;935;6,050;3,470;530;250;-;Literatur
ConSense - Ges. zur Foerderung von Kultur mbH (Kulturbrauerei);80,142;73,247;42,740;33,710;37,402;39,537;38,468;35,159;41,674;38,088;-;-;-;-;-;Kulturzentren / Kino
RambaZamba e.V.;4,334;6,326;3,595;5,333;739;993;2,557;3,732;1,777;2,594;-;-;5,000;3,700;-;Kulturzentren / Kino
ufa-fabrik e.V.;27,370;38,385;18,068;19,887;9,302;18,498;16,422;23,031;10,948;15,354;-;-;-;-;-;Kulturzentren / Kino
Neue Babylon Berlin GmbH;144,239;131,498;95,223;93,669;49,016;37,829;75,004;68,379;69,235;63,119;-;-;-;-;-;Kulturzentren / Kino
Stiftung Berlinische Galerie;129,870;154,713;84,932;103,687;44,938;51,026;71,429;85,092;58,442;69,621;-;-;-;-;-;Berliner Landesmuseen
Stiftung Broehan-Museum;46,851;63,196;15,779;24,718;31,072;38,478;30,631;37,918;16,220;25,278;-;-;-;-;-;Berliner Landesmuseen
Bruecke Museum;34,585;23,493;27,732;17,376;6,853;6,117;20,751;14,096;13,834;9,397;3,579;3,751;-;-;pauschale Ermittlung d. Genderdaten;Berliner Landesmuseen
Stiftung Deutsches Technikmuseum Berlin;630,736;581,912;497,729;448,978;133,007;132,934;227,923;210,239;402,813;371,673;-;-;-;-;-;Berliner Landesmuseen
